Bedrooms,Price,Number_of_reviews,Reviews_per_month,Rating
4,200,204,2.66,4.74
1,39,101,0.76,4.78
1,20,66,0.75,4.12
2,92,163,1.79,4.63
2,205,317,3.11,4.69
1,110,449,4.54,4.72
1,150,242,2.69,4.94
1,153,174,1.39,4.71
2,113,88,0.92,4
1,133,195,1.54,4.86
4,254,5,0.08,3.6
2,143,169,2.56,4.79
1,143,143,2.21,4.87
3,25,73,1.08,4.95
2,133,424,3.45,4.85
3,273,237,3.03,4.51
1,93,50,0.56,4.73
2,110,323,2.63,4.75
1,29,12,0.1,4.25
1,100,35,1.19,4.63
1,45,6,0.08,5
2,76,164,1.52,4.73
2,119,310,3.05,4.71
3,278,168,1.64,4.54
3,155,227,2.64,4.79
3,471,196,1.75,4.98
3,180,186,2.69,4.78
1,100,3,0.03,4
2,70,95,1.04,4.77
2,189,96,0.81,4.41
3,225,4,0.07,4.67
1,140,29,0.39,4.83
1,185,38,0.83,4.5
2,250,29,0.37,4.79
2,204,157,1.68,4.52
1,177,279,3.05,4.89
2,50,13,0.17,4.62
3,115,70,1.05,4.8
1,45,392,3.44,4.75
2,146,981,8.55,4.88
3,171,18,0.18,4.56
2,191,67,1.07,4.25
1,284,8,2.03,4.63
3,149,131,1.88,4.31
3,190,63,0.77,4.78
1,71,6,0.11,4.5
2,99,9,0.21,4.89
4,346,87,0.77,4.4
4,191,86,1.38,4.28
2,127,332,2.8,4.76
2,250,4,0.08,3.75
2,127,480,4.92,4.55
1,144,139,1.39,4.15
3,163,50,0.58,4.08
2,174,55,0.62,4.36
2,202,36,0.52,4.17
1,137,102,0.81,4.67
2,123,249,2.25,4.58
1,140,422,4.06,4.68
2,328,54,1.02,4.13
3,264,285,3.09,4.83
1,80,290,3.19,4.92
2,150,263,3.39,4.75
3,175,6,0.09,5
3,264,161,1.78,4.55
3,59,8,0.1,4.71
2,132,169,1.52,4.89
2,190,18,0.18,4.94
2,80,5,0.1,4.8
1,81,298,3.52,4.61
4,180,442,4.5,4.53
1,92,97,0.91,4.36
2,145,251,2.5,4.86
1,56,11,0.15,4
1,45,6,0.13,4
2,116,63,0.83,4.41
2,90,219,2.45,4.96
3,302,33,0.42,4.13
2,225,290,2.81,4.61
1,40,96,1.24,4.72
3,241,136,1.52,4.25
2,363,220,3.24,4.89
5,508,54,0.61,4.76
1,56,76,1,4.33
1,176,154,2.32,4.71
1,170,251,2.53,4.79
1,113,224,1.85,4.39
1,22,55,0.83,4.76
2,110,397,3.56,4.52
1,84,38,0.38,4.7
1,176,108,1.63,4.72
1,58,130,1.46,4.62
3,141,95,1.08,4.42
1,242,24,0.22,4.17
1,20,6,0.06,4.33
1,80,16,0.22,4.88
2,150,260,2.86,4.83
4,276,5,0.09,4.8
3,136,150,1.73,4.4
4,180,70,1.07,4.64
2,111,54,0.77,4.48
2,250,61,0.67,4.85
3,399,37,0.49,4.49
3,113,101,1.18,4.47
2,165,108,1.73,4.85
2,272,6,0.07,3.83
1,37,166,2.21,4.77
2,63,27,0.24,4.85
3,229,65,0.73,4.41
1,229,12,0.14,4.25
2,176,76,0.95,4.68
2,55,19,0.24,4.83
1,211,326,3.22,4.71
4,603,40,0.45,4.32
4,236,273,3.65,4.52
1,100,14,0.19,4.86
1,55,72,1.07,4.58
4,255,128,1.99,4.64
3,263,106,1.37,4.66
3,142,45,0.66,4.8
3,28,41,0.48,4.59
1,76,73,0.99,4.42
1,45,128,0.98,4.54
1,111,430,4.14,4.9
3,285,36,0.49,4.92
2,174,196,2.95,4.92
2,263,191,2.1,4.88
1,78,16,0.14,4.79
2,256,357,3.48,4.91
2,250,22,0.29,4.73
6,750,2,0.03,4
2,129,191,2.72,4.61
2,133,186,2.65,4.54
3,314,147,2.26,4.87
1,194,36,0.69,4.69
3,165,20,0.22,4.74
1,138,215,2.17,4.53
1,27,62,0.49,4.82
2,99,10,0.2,4.7
2,100,175,1.75,4.64
2,457,1,0.03,5
2,66,16,0.26,4.63
3,169,26,0.38,5
3,281,87,1.14,4.82
6,460,118,1.3,4.43
3,124,258,2.01,4.61
4,248,107,1.35,4.44
1,105,170,2.1,4.64
3,90,159,1.67,4.67
2,133,110,1.58,4.29
2,140,167,1.41,4.61
4,70,8,0.08,4.71
3,206,150,1.21,4.63
2,91,22,0.28,4.86
3,120,65,0.75,4.62
2,129,144,1.19,4.23
3,227,75,0.74,4.41
1,20,5,0.06,4.4
1,55,150,2.26,4.94
3,224,194,2.43,4.82
3,280,126,1.38,4.69
1,38,6,0.08,3.8
1,185,89,1.35,4.53
1,205,164,2.48,4.91
3,270,55,0.63,4.56
1,12,9,0.11,4
3,345,20,0.25,4.7
3,139,331,3.49,4.9
2,120,220,2.08,4.65
1,43,104,2.72,4.86
1,68,289,3.74,4.84
1,130,1,0.01,0
1,85,63,0.72,4.95
1,214,23,0.3,4.09
1,15,122,1.41,4.84
2,85,3,0.73,5
1,559,8,0.11,4.71
1,109,111,1.09,4.56
1,64,143,1.64,4.73
3,223,6,0.07,4.6
2,112,230,2.97,4.84
3,221,3,0.03,5
2,177,66,0.8,4.74
2,278,43,0.49,4.79
1,20,21,0.29,4.7
1,177,60,0.7,4.72
3,152,13,0.17,4.08
3,210,4,0.05,5
3,120,88,0.98,4.95
4,920,9,0.2,4.67
3,183,280,2.87,4.73
1,25,274,3.6,4.91
2,258,12,1.02,4.92
1,150,129,1.02,4.97
2,550,231,3.04,5
2,225,112,1.75,4.65
3,286,65,0.79,4.77
4,169,62,0.63,4.54
1,32,333,2.73,4.76
1,50,21,0.23,4.33
2,98,145,1.28,4.63
3,292,80,0.8,4.33
2,169,338,2.91,4.8
1,55,125,0.99,4.6
2,119,135,1.23,4.25
3,305,109,1.26,4.79
3,352,27,0.32,4.26
1,136,14,0.22,4.86
2,267,232,3.1,4.97
1,59,201,1.98,4.22
1,90,125,1.16,4.86
3,263,112,1.5,4.68
1,33,53,0.7,4.68
3,231,222,3.23,4.81
2,305,67,0.72,4.37
3,182,256,2.56,4.67
2,159,86,1.14,4.41
2,186,31,1.72,4.68
2,420,34,0.51,4.94
1,90,183,2.34,4.86
2,109,395,3.89,4.75
3,206,193,2.37,4.6
3,150,4,0.05,5
1,50,30,0.4,4.57
4,700,5,0.08,4
2,135,8,0.12,4.63
1,81,194,2.43,4.9
2,249,36,0.81,4.67
1,91,110,1.64,4.33
2,153,22,0.19,4.67
2,78,6,0.08,5
2,115,220,2.14,4.64
2,219,19,0.32,3.79
2,110,272,2.46,4.69
1,69,39,0.6,4.82
3,279,47,0.62,4.28
2,80,279,2.55,4.51
1,120,44,0.45,4.48
2,279,112,1.28,4.54
3,66,3,0.04,3.67
2,50,12,0.15,4.25
1,38,17,0.2,4.65
1,37,116,1.47,4.78
2,77,312,2.96,4.71
1,32,298,3.39,4.52
3,107,161,1.4,4.54
3,180,480,4.59,4.84
2,250,13,0.1,4.18
3,213,117,1.01,4.85
1,50,5,0.09,4
3,148,450,4.53,4.84
2,293,13,0.1,4.67
2,348,179,2.41,4.87
3,180,36,0.57,4.94
2,207,18,0.26,4.28
2,170,1,0.03,5
2,149,209,2.36,4.91
3,263,36,0.44,4.61
1,102,65,0.86,4.48
3,261,37,0.41,4.57
2,161,5,1.79,5
2,40,9,0.1,3.89
1,269,75,0.97,4.28
1,76,152,2.27,4.7
3,162,188,1.85,4.84
1,130,8,0.15,4.13
3,107,136,1.26,4.72
1,30,49,0.66,4.53
2,179,52,0.64,4.79
1,80,404,3.42,4.84
1,50,96,0.83,4.83
2,150,6,0.08,4
2,121,633,6.53,4.94
2,170,26,0.23,4.58
1,83,448,5.02,4.78
1,108,84,0.82,4.2
1,166,17,0.21,4.59
4,337,321,2.94,4.45
2,190,319,2.83,4.38
2,174,143,2.17,4.82
3,137,425,3.35,4.64
2,241,63,0.79,4.33
1,68,84,0.71,4.88
2,121,100,0.86,4.41
2,125,6,0.07,4.67
2,205,221,2.36,4.72
3,130,21,0.25,5
1,28,10,0.13,4.8
2,233,35,0.45,4.69
4,190,105,1.32,4.47
3,336,161,2.12,4.94
2,95,9,0.26,5
2,278,57,0.51,4.74
2,94,329,3.23,4.77
4,229,129,1.78,4.61
2,123,48,0.75,4.52
3,180,259,2.31,4.44
2,144,68,0.54,4.36
2,115,9,0.12,4.5
2,161,81,1.06,4.6
1,211,464,4.56,4.85
2,20,72,0.98,4.67
1,43,125,1.63,4.71
3,194,230,2.89,4.68
1,35,68,0.92,4.6
1,145,233,2.28,4.69
3,171,51,0.45,4.42
3,130,299,3.29,4.4
2,232,315,3.48,4.69
2,150,201,2.47,4.9
2,286,37,0.7,4.59
2,229,254,2.89,4.62
2,58,32,0.42,4.91
6,355,140,1.28,4.41
1,144,209,2.79,4.83
3,450,15,0.2,4.47
2,160,239,2.47,4.83
4,140,6,0.1,5
3,181,166,1.84,4.93
2,202,330,3.34,4.67
1,292,59,0.58,4.6
1,20,186,1.61,4.66
3,150,229,2.47,4.59
3,85,11,0.2,4.82
1,60,19,0.25,4.11
2,110,12,0.23,5
1,137,442,4.5,4.96
4,287,163,1.89,4.87
3,285,6,0.07,4.2
1,65,6,0.1,4.5
1,251,25,0.33,4.5
5,650,32,0.5,4.81
3,122,244,1.93,4.53
4,151,106,1.61,4.7
2,271,23,0.27,5
1,102,289,2.83,4.88
3,223,52,0.68,4.42
1,91,268,3.51,4.7
3,110,312,3.25,4.85
3,93,12,0.14,4.44
2,45,9,0.14,4.22
2,275,238,2.58,4.67
2,257,45,0.49,4.67
1,103,314,3.07,4.84
1,44,140,1.76,4.17
3,149,99,1.17,4.61
1,209,6,0.09,4.8
1,39,116,1.37,4.86
1,30,30,0.34,4.64
1,73,546,5.38,4.74
1,25,5,0.06,4.4
2,151,251,3.17,4.7
1,172,231,2.98,4.61
2,200,3,0.07,3.67
4,316,121,1.39,4.45
3,248,98,1.01,4.21
5,376,41,0.46,4.33
1,50,81,1.07,4.79
1,207,226,2.11,4.78
3,337,61,1.01,4.11
3,284,6,0.13,4.67
2,150,217,2.04,4.69
4,70,1,0.02,5
3,154,492,3.84,4.75
2,102,473,4.55,4.62
2,117,273,2.74,4.78
1,42,38,0.44,4.89
2,161,176,1.91,4.28
1,100,31,0.3,4.9
2,194,141,2.13,4.53
3,375,58,0.83,4.71
3,250,145,2.17,4.88
2,57,6,0.1,4.17
1,42,17,0.27,4.82
3,120,6,0.12,4.67
4,599,206,1.73,4.83
1,125,103,1.42,4.65
3,90,42,0.37,4.69
2,70,38,0.39,4.68
1,55,131,1.19,4.67
2,214,34,0.31,4.82
1,147,27,0.31,4.42
2,300,72,0.7,4.6
2,277,15,0.29,4.73
4,191,18,0.23,4.29
1,50,5,0.09,3.2
2,109,159,1.76,4.52
3,153,227,2.31,4.55
3,185,264,2.62,4.83
3,200,130,2.05,4.5
2,182,309,2.87,4.75
2,108,223,2.29,4.91
2,40,3,0.06,4.67
1,57,7,0.1,4.25
1,95,189,1.86,4.37
2,171,193,1.91,4.62
2,250,196,2.77,4.62
1,49,257,2.05,4.79
3,264,166,1.64,4.53
2,150,1,0.7,5
3,165,102,1.22,4.43
2,80,8,0.1,5
3,352,131,1.17,4.44
1,72,4,0.05,4.5
2,390,73,0.93,4.9
1,132,440,6.41,4.67
4,200,249,3.06,4.59
6,230,4,0.12,5
3,226,40,0.53,4.66
5,20,72,0.83,4.42
1,58,260,2.21,4.72
2,143,90,0.89,4.28
3,222,130,1.87,4.77
3,227,359,3.53,4.9
2,132,302,2.42,4.61
1,91,170,2.21,4.89
2,99,329,2.83,4.72
4,550,57,0.66,4.84
1,57,6,0.1,4.33
2,180,366,3.52,4.94
1,278,218,3.02,4.93
3,218,2,0.03,5
1,174,106,1.05,4.58
1,32,128,1.9,4.58
3,432,17,0.22,4.88
2,94,323,3.16,4.67
4,90,2,0.02,4
1,311,8,0.71,4.88
3,330,21,0.17,4.65
2,141,83,1.23,4.94
3,254,274,3.33,4.48
1,30,25,0.36,4.57
3,308,131,1.43,4.58
3,243,218,2.73,4.65
1,114,6,0.08,5
3,110,3,0.04,4
3,90,117,1.58,4.56
2,133,94,0.85,4.52
4,213,163,1.41,4.5
2,285,54,0.61,4.92
1,500,3,0.05,5
4,204,109,0.94,4.4
1,104,40,0.52,4.87
2,90,34,0.4,4.3
1,40,166,2.15,4.85
2,130,15,0.48,4.67
3,140,87,0.89,4.79
2,271,19,0.19,5
2,135,155,1.81,4.81
2,106,13,0.21,3.77
1,68,520,4.62,4.84
4,314,89,0.75,4.9
3,247,246,2.48,4.74
1,23,6,0.08,4.33
2,165,150,1.34,4.71
1,29,1,0.01,0
1,45,93,1.37,4.92
1,39,12,0.15,4.91
1,31,147,1.57,4.29
3,417,72,1.12,4.31
4,164,6,0.13,4.67
4,191,78,0.57,4.77
1,35,17,0.22,4.53
1,13,43,0.47,4.91
2,327,118,1.29,4.87
2,420,53,0.76,4.75
1,219,13,0.24,4.15
1,32,42,0.46,4.73
3,69,308,3.08,4.75
2,115,30,0.27,4.28
2,110,54,2.45,4.83
4,225,46,0.42,4.89
1,57,152,2.19,4.83
1,140,287,2.76,4.95
1,218,54,0.48,4.81
1,45,322,4.22,4.53
3,230,62,0.6,4.37
1,95,393,3.41,4.86
2,457,5,0.07,5
2,93,3,0.06,3.67
1,166,34,0.4,4.42
1,189,235,2.08,4.8
2,241,117,1.6,4.97
1,49,4,0.06,3.75
2,110,200,2.19,4.96
2,188,19,0.23,4.05
2,163,48,0.73,4.26
3,241,74,1.21,4.7
1,30,74,0.67,4.63
3,174,68,0.89,4.46
3,450,10,0.09,4.5
6,750,3,0.05,4.33
1,78,263,3.64,4.59
2,162,243,2.16,4.53
6,850,9,0.11,3.88
1,212,10,0.14,4.7
3,180,63,0.51,4.63
1,59,204,2.75,4.36
1,21,9,0.14,4.22
3,131,329,2.94,4.78
1,30,53,0.71,4.77
1,84,382,3.26,4.82
1,91,411,3.92,4.71
1,23,10,0.14,4.7
3,126,142,1.62,4.28
1,38,189,2.79,4.12
2,128,13,0.13,4.3
3,230,1,1,5
2,275,24,0.26,4.91
2,250,27,0.34,4.48
1,164,59,0.78,4.62
2,273,40,0.39,4.86
2,334,19,0.19,4.89
1,41,135,1.95,4.77
2,208,45,0.59,4.11
2,130,207,1.86,4.52
2,110,118,1.76,4.63
5,374,322,3.73,4.95
2,23,15,0.17,4.57
1,61,7,0.21,4.86
3,250,25,0.31,4.64
2,109,190,1.94,4.45
1,163,49,0.63,4.51
1,37,225,2.01,4.84
1,101,149,1.38,4.79
3,151,211,2.3,4.95
1,250,2,0.02,4
3,151,19,0.19,4.5
3,192,300,2.42,4.87
3,44,1,0.02,4
1,21,6,0.08,4.67
1,40,59,0.81,4.43
1,45,3,0.06,4.67
2,208,9,0.08,4.13
1,292,56,0.64,4.73
3,172,111,0.91,4.69
2,252,240,2.15,4.69
4,650,46,0.6,4.59
4,244,142,1.39,4.64
1,73,89,1.15,4.86
1,19,26,0.23,4.67
2,108,100,1.04,4.18
2,174,38,0.47,3.89
1,43,37,0.46,4.86
2,80,309,3.62,4.59
2,145,81,1.17,4.64
3,285,29,0.32,4.72
1,130,167,2.12,4.31
3,243,96,0.85,4.7
1,148,178,1.57,4.58
3,205,229,1.92,4.81
2,280,320,3.51,4.66
1,97,166,1.66,4.72
2,121,16,0.17,4.75
5,340,79,0.89,4.2
2,100,32,0.28,4.5
1,35,14,0.18,4.71
1,44,12,0.16,4.22
1,91,170,2.3,4.92
3,110,38,0.53,4.82
3,400,205,2.96,4.83
2,40,59,0.68,4.17
1,218,185,2.02,4.6
2,139,443,3.92,4.83
2,164,133,1.57,4.74
3,181,161,1.88,4.94
3,299,101,1.36,4.87
1,150,160,2.37,4.25
1,94,101,1.49,4.45
5,255,65,0.72,4.72
3,169,19,0.2,4.16
2,171,185,2.75,4.7
3,200,203,2.03,4.35
9,1413,37,0.55,4.78
1,18,12,0.11,4.73
1,30,33,0.43,4.82
1,65,25,0.34,4.88
3,230,62,0.44,4.73
2,146,141,1.72,4.9
3,195,179,1.76,4.64
1,64,33,0.46,4.42
2,182,249,2.71,4.7
3,420,249,1.95,4.65
1,120,101,1.58,4.45
1,60,33,0.39,4.47
2,149,70,0.93,4.24
3,417,53,0.66,4.53
2,160,132,1.62,4.59
2,143,160,1.78,4.53
1,35,21,0.23,4.81
4,458,57,0.59,4.54
1,81,245,3.15,4.82
3,288,2,0.17,3
1,168,194,1.98,4.79
2,170,122,1.24,4.86
2,287,220,2.36,4.79
1,130,27,0.35,4.74
2,151,75,1.04,4.68
1,109,149,1.43,4.24
2,170,142,2.2,4.9
1,180,112,0.98,4.98
3,169,8,0.12,4.88
2,161,68,0.79,4.59
2,283,106,1.58,4.98
1,36,202,2.31,4.84
1,166,90,0.78,4.67
4,210,10,2.26,3.9
2,75,12,0.15,4.33
5,906,238,3.29,4.73
4,110,331,4.14,4.55
3,109,94,0.93,4.64
2,223,133,1.99,4.45
3,128,228,2.08,4.22
2,197,51,0.46,4.35
1,34,186,2.75,4.5
1,35,258,3.87,4.48
3,149,287,2.94,4.92
5,280,89,1,4.4
1,32,75,0.98,4.92
1,129,190,1.73,4.35
2,194,782,6.1,4.49
2,210,100,1.34,4.71
2,420,145,1.81,4.98
2,131,359,3.42,4.94
3,304,165,2.08,4.81
1,139,55,0.73,4.76
2,201,135,2.06,4.63
2,343,29,0.4,4.76
3,220,64,0.81,4.68
1,78,32,0.31,4.5
1,165,372,3.21,4.8
3,214,24,0.36,4.21
1,46,196,2.1,4.37
2,91,86,0.79,4.45
2,143,71,0.91,4.47
2,102,128,1.33,4.8
1,43,12,0.17,4.58
2,99,7,0.15,4.43
1,25,162,2.08,4.44
1,30,24,0.26,4.75
2,151,312,3.7,4.89
1,30,173,2.05,4.91
1,91,194,1.77,4.96
2,123,3,0.04,3.33
1,85,636,5.54,4.62
4,207,411,3.33,4.85
3,299,34,0.41,4.55
1,74,9,0.1,3.17
4,234,451,4.21,4.79
2,192,118,1.35,4.54
3,221,167,1.93,4.69
1,55,9,0.15,4.11
1,108,281,2.54,4.35
1,86,145,2.15,4.94
3,138,70,0.68,4.5
3,120,8,5.71,4.88
1,14,35,0.32,4.71
4,130,1,0.3,5
2,300,107,1.32,4.86
3,325,23,0.24,4.74
1,151,89,0.77,4.77
1,35,70,0.93,4.61
1,130,387,3.39,4.7
1,68,9,0.12,3.89
1,71,237,3.2,4.73
1,96,138,1.2,4.59
1,200,160,2.16,4.72
1,46,149,1.96,4.92
1,247,116,1.29,4.53
3,109,166,1.6,4.41
4,140,79,1.05,4.46
2,200,163,1.43,4.68
2,354,8,0.12,4.5
5,261,114,1.16,4.77
2,95,183,1.8,4.76
2,241,163,2.11,4.66
3,312,209,2.36,4.82
2,191,161,2.28,4.27
1,40,11,0.15,4.7
2,139,152,1.37,4.39
1,250,12,0.11,4.67
1,90,136,1.22,4.83
1,61,376,4.14,4.76
1,55,3,0.03,2.5
1,55,307,4.48,4.79
2,106,86,1.28,4.83
1,85,84,0.98,4.9
3,200,230,2.01,4.45
2,62,327,3.22,4.85
2,116,7,4.57,4.14
1,15,74,1.09,4.36
4,235,243,2.37,4.92
4,300,95,1.05,4.79
2,104,379,3.73,4.47
1,46,273,4.2,4.7
1,78,148,2,4.94
1,57,6,0.09,3.8
1,71,202,2.37,4.6
1,30,255,2.23,4.15
1,17,78,0.89,4.39
3,99,95,0.97,4.69
1,29,241,2.13,4.47
1,70,253,1.83,4.74
1,218,20,0.67,4.9
1,30,20,0.22,4.79
2,99,9,0.28,4.33
3,125,270,2.45,4.39
3,184,151,1.58,4.68
1,100,1,0.08,3
2,115,148,1.28,4.75
2,275,60,0.82,4.83
3,148,154,1.85,4.78
1,30,41,0.62,4.61
3,392,158,2.36,4.66
4,80,17,0.23,4.41
3,324,35,0.54,4.8
1,123,160,1.59,4.74
3,183,274,2.5,4.69
4,400,6,0.14,5
2,200,20,1.71,4.9
1,50,6,0.07,4.33
1,145,36,0.56,4.63
1,100,141,1.73,4.76
1,138,36,0.42,4.14
1,25,81,1.04,4.69
2,154,169,1.77,4.88
1,60,119,1.09,4.64
2,161,74,0.84,4.62
1,33,10,6.98,4.9
3,276,21,0.17,4.4
2,163,232,2.83,4.82
1,85,20,0.26,4.7
1,43,60,0.83,4.8
2,228,143,1.58,4.67
2,318,10,1.35,4.8
2,195,170,1.86,4.81
3,133,307,3.52,4.52
3,300,52,0.71,4.68
1,250,1,0.02,4
3,246,70,0.72,4.54
3,250,179,1.8,4.61
1,30,54,1.1,4.78
2,119,317,3.78,4.91
2,101,156,1.78,4.61
2,250,6,0.06,3.67
2,87,182,1.85,4.63
2,117,4,0.04,4.5
3,250,6,0.07,3.67
1,60,4,0.05,4.75
1,249,92,0.91,4.31
3,190,87,0.71,4.5
1,26,254,3.38,4.76
3,299,7,0.09,5
3,291,11,0.11,4.2
2,217,86,1.1,4.26
4,186,37,0.33,4.22
1,42,3,0.04,5
3,189,4,0.04,5
1,140,220,2.42,4.57
1,62,56,0.55,4.64
3,214,89,1.36,4.71
1,90,40,0.44,4.23
1,47,196,2.09,4.46
4,198,131,1.35,4.63
1,47,20,0.3,4.7
1,201,32,0.32,4.74
3,153,169,1.63,4.62
1,45,1,0.02,5
1,25,133,1.58,4.46
1,35,7,0.09,5
2,264,77,0.79,4.97
2,100,280,2.53,4.81
2,281,192,1.73,4.7
2,233,97,0.83,4.65
1,120,185,2.16,4.68
2,201,145,1.29,4.66
2,70,15,0.2,4.33
4,110,324,4.04,4.54
2,211,49,0.49,4.45
1,210,353,3.17,4.92
1,35,250,2.2,4.83
1,165,253,3.12,4.92
2,140,354,3.2,4.83
4,263,32,0.24,4.5
1,36,20,0.2,4.9
2,138,163,1.81,4.74
2,118,158,1.69,4.73
1,118,217,3.27,4.7
3,156,128,1,4.5
2,218,139,1.39,4.68
1,161,23,0.31,4.83
1,45,6,0.09,5
1,90,29,0.43,4.9
1,100,10,0.11,4.22
2,176,6,0.08,4
3,159,161,1.41,4.73
5,569,59,0.82,4.76
1,80,38,0.38,4.68
3,116,3,0.05,4.33
2,160,220,2.5,4.85
2,91,72,0.58,4.44
2,144,215,2.13,4.67
1,95,4,0.05,4.75
1,38,7,0.13,4.14
3,365,63,0.79,4.78
1,76,357,3.08,4.95
1,70,1,0.03,4
1,94,28,2.39,4.25
1,35,138,1.6,4.87
2,129,310,3.88,4.71
2,150,200,2.75,4.67
3,150,611,6.11,4.88
1,181,108,1.63,4.64
1,250,166,1.49,4.94
2,134,192,2.1,4.67
1,150,128,1.23,4.51
1,60,98,1.32,4.52
5,512,76,0.7,4.61
2,274,5,0.05,5
1,39,16,0.14,4.43
1,181,56,0.49,4.83
1,60,126,1.12,4.74
1,60,101,0.99,4.85
2,205,13,0.2,4.46
3,180,269,2.71,4.75
1,122,115,1.73,4.6
3,154,10,0.1,4
2,300,52,0.51,4.76
6,516,119,1.81,4.12
6,437,272,3.28,4.79
3,159,10,0.12,4
2,98,13,0.15,4.64
1,50,7,0.1,4.86
1,179,24,0.31,4.75
3,346,78,1.2,4.35
2,146,17,0.23,5
2,96,242,2.43,4.83
2,154,184,2.63,4.57
2,40,2,0.03,4.5
2,150,250,2.46,4.91
2,200,130,1.36,4.77
1,133,276,2.14,4.93
2,150,27,0.23,4.54
1,247,33,0.4,4.7
1,33,24,0.19,4.42
3,108,28,0.44,4.32
4,753,42,0.46,4.71
1,130,277,2.49,4.81
1,120,159,1.88,4.82
1,48,10,0.14,4.67
1,177,151,2.29,4.71
4,75,1,0.08,5
3,296,96,1.23,4.81
2,75,176,1.54,4.68
1,37,11,0.15,4.91
1,166,11,0.13,4.82
2,203,67,0.87,4.63
1,40,135,1.38,4.81
1,12,26,0.31,4.6
2,171,155,1.72,4.89
